row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,sales_outlier_flag,profit_outlier_flag,quantity_outlier_flag,discount_outlier_flag,order_year,order_month,order_month_name,order_quarter,ship_days,revenue,cost,profit_margin,discount_band,profitability_status,customer_order_count,customer_lifetime_value,customer_value_segment
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,0,1,0,1,2015,2015-11-01,Nov,Q4,4,68.81,192.668,-1.8,Very High,Loss-Making,7,373.8637,High Value
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,0,0,0,1,2015,2015-11-01,Nov,Q4,4,2.544,6.359999999999999,-1.5,Very High,Loss-Making,7,373.8637,High Value
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,1,0,0,0,2014,2014-11-01,Nov,Q4,7,665.88,652.5624,0.02,No Discount,Profitable,12,2038.2676000000001,VIP
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,0,0,0,0,2014,2014-05-01,May,Q2,2,55.5,45.51,0.18,No Discount,Profitable,5,732.7399,VIP
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,0,0,0,0,2014,2014-08-01,Aug,Q3,5,8.56,6.0776,0.29,No Discount,Profitable,5,249.1307,Medium Value
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,0,0,0,0,2014,2014-08-01,Aug,Q3,5,213.48,197.469,0.075,Medium,Profitable,5,249.1307,Medium Value
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,0,0,0,0,2014,2014-08-01,Aug,Q3,5,22.72,15.335999999999999,0.325,Medium,Profitable,5,249.1307,Medium Value
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,0,0,0,0,2016,2016-12-01,Dec,Q4,4,19.46,14.400400000000001,0.25999999999999995,No Discount,Profitable,12,579.3551,High Value
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,0,0,0,0,2016,2016-12-01,Dec,Q4,4,60.34,44.6516,0.25999999999999995,No Discount,Profitable,12,579.3551,High Value
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,0,0,0,0,2017,2017-07-01,Jul,Q3,2,71.372,72.3916,-0.014285714285714287,High,Loss-Making,7,228.1623,Medium Value
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,1,1,0,0,2015,2015-09-01,Sep,Q3,5,1044.63,804.3651000000001,0.22999999999999998,No Discount,Profitable,10,261.5315,Medium Value
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,0,0,0,0,2016,2016-01-01,Jan,Q1,4,11.648,7.425599999999999,0.36250000000000004,Medium,Profitable,8,53.53980000000001,Low Value
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,0,0,0,0,2016,2016-01-01,Jan,Q1,4,90.57,78.79589999999999,0.13,No Discount,Profitable,8,53.53980000000001,Low Value
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,1,1,0,0,2015,2015-09-01,Sep,Q3,4,3083.43,4748.4822,-0.54,High,Loss-Making,9,-1603.0451,Low Value
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,0,0,0,1,2015,2015-09-01,Sep,Q3,4,9.618,16.6712,-0.7333333333333334,Very High,Loss-Making,9,-1603.0451,Low Value
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,0,0,0,0,2015,2015-09-01,Sep,Q3,4,124.2,108.675,0.125,Medium,Profitable,9,-1603.0451,Low Value
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,0,0,0,0,2015,2015-09-01,Sep,Q3,4,3.264,2.1624,0.3375,Medium,Profitable,9,-1603.0451,Low Value
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,0,0,0,0,2015,2015-09-01,Sep,Q3,4,86.304,76.5948,0.11249999999999999,Medium,Profitable,9,-1603.0451,Low Value
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,0,0,0,1,2015,2015-09-01,Sep,Q3,4,6.858,12.573,-0.8333333333333334,Very High,Loss-Making,9,-1603.0451,Low Value
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,0,0,0,0,2015,2015-09-01,Sep,Q3,4,15.76,12.214,0.22499999999999998,Medium,Profitable,9,-1603.0451,Low Value
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,0,0,0,0,2017,2017-10-01,Oct,Q4,4,29.472,19.5252,0.33749999999999997,Medium,Profitable,11,1240.2266,VIP
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,1,1,0,0,2016,2016-12-01,Dec,Q4,2,1097.544,974.0703000000001,0.11249999999999999,Medium,Profitable,2,-95.4498,Low Value
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,0,1,0,1,2016,2016-12-01,Dec,Q4,2,190.92,338.883,-0.775,Very High,Loss-Making,2,-95.4498,Low Value
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,0,0,0,0,2015,2015-12-01,Dec,Q4,4,113.328,77.91300000000001,0.3125,Medium,Profitable,7,481.74989999999997,High Value
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,1,1,0,0,2015,2015-12-01,Dec,Q4,4,532.3992,579.3756,-0.08823529411764706,High,Loss-Making,7,481.74989999999997,High Value
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,0,0,0,0,2015,2015-12-01,Dec,Q4,4,212.058,227.20499999999998,-0.07142857142857144,High,Loss-Making,7,481.74989999999997,High Value
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,0,0,0,0,2015,2015-12-01,Dec,Q4,4,371.168,329.4116,0.1125,Medium,Profitable,7,481.74989999999997,High Value
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,0,0,0,0,2017,2017-09-01,Sep,Q3,5,147.168,130.6116,0.11249999999999999,Medium,Profitable,8,288.26599999999996,Medium Value
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,0,0,0,0,2016,2016-07-01,Jul,Q3,5,77.88,73.98599999999999,0.05,No Discount,Profitable,7,1292.8656,VIP
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,0,0,0,0,2017,2017-09-01,Sep,Q3,4,95.616,86.0544,0.1,Medium,Profitable,9,246.6661,Medium Value
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,0,0,0,0,2016,2016-03-01,Mar,Q1,2,45.98,26.208599999999997,0.43000000000000005,No Discount,Profitable,9,-5.88900000000001,Low Value
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,0,0,0,0,2016,2016-03-01,Mar,Q1,2,17.46,9.2538,0.47000000000000003,No Discount,Profitable,9,-5.88900000000001,Low Value
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,0,0,0,0,2014,2014-10-01,Oct,Q4,5,211.96,203.48160000000001,0.04,No Discount,Profitable,7,437.8533,High Value
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,0,0,0,0,2016,2016-06-01,Jun,Q2,5,45.0,40.05,0.11,No Discount,Profitable,9,526.0727,High Value
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,0,0,0,0,2016,2016-06-01,Jun,Q2,5,21.8,15.696000000000002,0.27999999999999997,No Discount,Profitable,9,526.0727,High Value
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,0,0,0,0,2015,2015-04-01,Apr,Q2,4,38.22,20.2566,0.47000000000000003,No Discount,Profitable,9,241.4524,Medium Value
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,0,0,0,0,2015,2015-04-01,Apr,Q2,4,75.18,39.845400000000005,0.47,No Discount,Profitable,9,241.4524,Medium Value
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,0,0,0,0,2015,2015-04-01,Apr,Q2,4,6.16,3.2032000000000003,0.48,No Discount,Profitable,9,241.4524,Medium Value
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,0,0,0,0,2015,2015-04-01,Apr,Q2,4,89.99,72.89189999999999,0.19,No Discount,Profitable,9,241.4524,Medium Value
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,0,0,0,0,2016,2016-12-01,Dec,Q4,6,15.26,9.0034,0.41,No Discount,Profitable,5,502.6143,High Value
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,1,1,0,0,2016,2016-12-01,Dec,Q4,6,1029.95,731.2645,0.29,No Discount,Profitable,5,502.6143,High Value
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,0,0,0,0,2016,2016-06-01,Jun,Q2,1,208.56,156.42000000000002,0.25,No Discount,Profitable,5,390.2113,High Value
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,0,0,0,0,2016,2016-06-01,Jun,Q2,1,32.4,16.848,0.48,No Discount,Profitable,5,390.2113,High Value
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,0,0,0,0,2016,2016-06-01,Jun,Q2,1,319.41,312.312,0.02222222222222222,Low,Profitable,5,390.2113,High Value
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,0,0,0,0,2016,2016-06-01,Jun,Q2,1,14.56,7.5712,0.48,No Discount,Profitable,5,390.2113,High Value
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,0,0,0,0,2016,2016-06-01,Jun,Q2,1,30.0,26.7,0.11,No Discount,Profitable,5,390.2113,High Value
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,0,0,0,0,2016,2016-06-01,Jun,Q2,1,48.48,32.117999999999995,0.33749999999999997,Medium,Profitable,5,390.2113,High Value
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,0,0,0,0,2016,2016-06-01,Jun,Q2,1,1.68,0.84,0.5,No Discount,Profitable,5,390.2113,High Value
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,0,0,0,0,2015,2015-11-01,Nov,Q4,6,13.98,7.8288,0.44,No Discount,Profitable,8,745.7685,VIP
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,0,0,0,0,2015,2015-11-01,Nov,Q4,6,25.824,16.4628,0.3625,Medium,Profitable,8,745.7685,VIP
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,0,0,0,0,2015,2015-11-01,Nov,Q4,6,146.73,77.76689999999999,0.47000000000000003,No Discount,Profitable,8,745.7685,VIP
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,0,0,0,0,2015,2015-11-01,Nov,Q4,6,79.76,57.427200000000006,0.27999999999999997,No Discount,Profitable,8,745.7685,VIP
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,0,0,0,0,2015,2015-04-01,Apr,Q2,5,213.115,228.3375,-0.07142857142857142,High,Loss-Making,8,198.5099,Medium Value
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,1,1,0,0,2014,2014-12-01,Dec,Q4,5,1113.024,1001.7215999999999,0.10000000000000002,Medium,Profitable,6,381.7807,High Value
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,0,0,0,0,2014,2014-12-01,Dec,Q4,5,167.968,104.97999999999999,0.375,Medium,Profitable,6,381.7807,High Value
